Kilobytes	Time(microsecs)
=====================================
0	44.822363
10	5.832296
20	9.266111
30	8.090454
40	8.281483
50	5.742677
60	9.333325
70	5.309913
80	8.770849
90	7.299214
100	8.628166
110	496.202699
120	4.893657
130	1.838364
140	3.766347
150	1.953925
160	3.01638
170	1.97633
180	2.923223
190	1.826572
200	3.072981
210	2.043544
220	3.076519
230	1.570687
240	148.523089
250	1.966896
260	11.600916
270	1.323056
280	2.361927
290	1.319519
300	2.399661
310	1.262917
320	2.282921
330	1.181553
340	2.418528
350	1.18627
360	130.68895
370	2.061232
380	2.600124
390	1.253484
400	2.321834
410	1.124952
420	2.335984
430	1.207495
440	2.24047
450	1.178015
460	2.258158
470	1.236975
480	2.170897
490	119.672915
500	2.9869
510	1.182732
520	2.437395
530	1.24405
540	2.153209
550	1.179195
560	2.226319
570	1.103726
580	2.288817
590	1.160327
600	2.24047
610	1.206316
620	125.469835
630	1.781763
640	2.425603
650	1.162686
660	2.255799
670	1.356074
680	2.275845
690	2.607935
700	3.26519
710	1.56597
720	2.509916
730	1.374351
740	2.81061
750	142.202606
760	3.666116
770	1.494629
780	2.857778
790	1.383195
800	3.01579
810	1.548872
820	2.63491
830	1.533542
840	2.624887
850	1.627288
860	2.592459
870	1.297704
880	183.812843
890	2.530551
900	3.931435
910	1.798272
920	14.799481
930	1.788249
940	3.341248
950	1.647335
960	2.585974
970	1.750514
980	2.671465
990	1.563612
1000	216.352127
1010	4.328823
1020	4.697321
